contract_symbol,date,open,high,low,close,volume,open_interest,month_of_expiration,ticker,expiration_date
BRT_1,02/06/2016,49.63000107,49.63000107,49.63000107,49.63000107,49.63000107,49.63000107,Aug-16,COQ16,30/06/2016
BRT_1,03/06/2016,49.95000076,49.95000076,49.95000076,49.95000076,49.95000076,49.95000076,Aug-16,COQ16,30/06/2016
BRT_1,06/06/2016,49.83000183,49.83000183,49.83000183,49.83000183,49.83000183,49.83000183,Aug-16,COQ16,30/06/2016
BRT_1,07/06/2016,50.45999908,50.45999908,50.45999908,50.45999908,50.45999908,50.45999908,Aug-16,COQ16,30/06/2016
BRT_1,08/06/2016,51.40999985,51.40999985,51.40999985,51.40999985,51.40999985,51.40999985,Aug-16,COQ16,30/06/2016
BRT_1,09/06/2016,52.74000168,52.74000168,52.74000168,52.74000168,52.74000168,52.74000168,Aug-16,COQ16,30/06/2016
BRT_1,10/06/2016,51.90999985,51.90999985,51.90999985,51.90999985,51.90999985,51.90999985,Aug-16,COQ16,30/06/2016
BRT_1,13/06/2016,50.41999817,50.41999817,50.41999817,50.41999817,50.41999817,50.41999817,Aug-16,COQ16,30/06/2016
BRT_1,14/06/2016,49.88999939,49.88999939,49.88999939,49.88999939,49.88999939,49.88999939,Aug-16,COQ16,30/06/2016
BRT_1,15/06/2016,49.22000122,49.22000122,49.22000122,49.22000122,49.22000122,49.22000122,Aug-16,COQ16,30/06/2016
BRT_1,16/06/2016,48.56000137,48.56000137,48.56000137,48.56000137,48.56000137,48.56000137,Aug-16,COQ16,30/06/2016
BRT_1,17/06/2016,47.27999878,47.27999878,47.27999878,47.27999878,47.27999878,47.27999878,Aug-16,COQ16,30/06/2016
BRT_1,20/06/2016,49.41999817,49.41999817,49.41999817,49.41999817,49.41999817,49.41999817,Aug-16,COQ16,30/06/2016
BRT_1,21/06/2016,50.43000031,50.43000031,50.43000031,50.43000031,50.43000031,50.43000031,Aug-16,COQ16,30/06/2016
BRT_1,22/06/2016,51.06000137,51.06000137,51.06000137,51.06000137,51.06000137,51.06000137,Aug-16,COQ16,30/06/2016
BRT_1,23/06/2016,50.13999939,50.13999939,50.13999939,50.13999939,50.13999939,50.13999939,Aug-16,COQ16,30/06/2016
BRT_1,24/06/2016,50.68999863,50.68999863,50.68999863,50.68999863,50.68999863,50.68999863,Aug-16,COQ16,30/06/2016
BRT_1,27/06/2016,48.43000031,48.43000031,48.43000031,48.43000031,48.43000031,48.43000031,Aug-16,COQ16,30/06/2016
BRT_1,28/06/2016,47.61000061,47.61000061,47.61000061,47.61000061,47.61000061,47.61000061,Aug-16,COQ16,30/06/2016
BRT_1,29/06/2016,48.84000015,48.84000015,48.84000015,48.84000015,48.84000015,48.84000015,Aug-16,COQ16,30/06/2016
BRT_1,30/06/2016,50.20999908,50.20999908,50.20999908,50.20999908,50.20999908,50.20999908,Aug-16,COQ16,30/06/2016
BRT_1,01/07/2016,49.90000153,49.90000153,49.90000153,49.90000153,49.90000153,49.90000153,Sep-16,COU16,29/07/2016
BRT_1,04/07/2016,50.59999847,50.59999847,50.59999847,50.59999847,50.59999847,50.59999847,Sep-16,COU16,29/07/2016
BRT_1,05/07/2016,50.02999878,50.02999878,50.02999878,50.02999878,50.02999878,50.02999878,Sep-16,COU16,29/07/2016
BRT_1,06/07/2016,48.06000137,48.06000137,48.06000137,48.06000137,48.06000137,48.06000137,Sep-16,COU16,29/07/2016
BRT_1,07/07/2016,49.11999893,49.11999893,49.11999893,49.11999893,49.11999893,49.11999893,Sep-16,COU16,29/07/2016
BRT_1,08/07/2016,46.59999847,46.59999847,46.59999847,46.59999847,46.59999847,46.59999847,Sep-16,COU16,29/07/2016
BRT_1,11/07/2016,46.49000168,46.49000168,46.49000168,46.49000168,46.49000168,46.49000168,Sep-16,COU16,29/07/2016
BRT_1,12/07/2016,46.16999817,46.16999817,46.16999817,46.16999817,46.16999817,46.16999817,Sep-16,COU16,29/07/2016
BRT_1,13/07/2016,48.13000107,48.13000107,48.13000107,48.13000107,48.13000107,48.13000107,Sep-16,COU16,29/07/2016
BRT_1,14/07/2016,46.59000015,46.59000015,46.59000015,46.59000015,46.59000015,46.59000015,Sep-16,COU16,29/07/2016
BRT_1,15/07/2016,47.02999878,47.02999878,47.02999878,47.02999878,47.02999878,47.02999878,Sep-16,COU16,29/07/2016
BRT_1,18/07/2016,47.91999817,47.91999817,47.91999817,47.91999817,47.91999817,47.91999817,Sep-16,COU16,29/07/2016
BRT_1,19/07/2016,46.93000031,46.93000031,46.93000031,46.93000031,46.93000031,46.93000031,Sep-16,COU16,29/07/2016
BRT_1,20/07/2016,46.75999832,46.75999832,46.75999832,46.75999832,46.75999832,46.75999832,Sep-16,COU16,29/07/2016
BRT_1,21/07/2016,47.16999817,47.16999817,47.16999817,47.16999817,47.16999817,47.16999817,Sep-16,COU16,29/07/2016
BRT_1,22/07/2016,46.20999908,46.20999908,46.20999908,46.20999908,46.20999908,46.20999908,Sep-16,COU16,29/07/2016
